Distance 74336.72 m, after 73 s.
Distance 74107.86 m, after 74 s.
Distance 73879.63 m, after 75 s.
Distance 73652.02 m, after 76 s.
Distance 73425.05 m, after 77 s.
Distance 73198.7 m, after 78 s.
Distance 72972.98 m, after 79 s.
Distance 72747.88 m, after 80 s.
Distance 72523.4 m, after 81 s.
Distance 72299.55 m, after 82 s.
Distance 72076.32 m, after 83 s.
Distance 71853.71 m, after 84 s.
Distance 71631.72 m, after 85 s.
Distance 71410.35 m, after 86 s.
Distance 71189.59 m, after 87 s.
Distance 70969.46 m, after 88 s.
Distance 70749.94 m, after 89 s.
Distance 70531.03 m, after 90 s.
Distance 70312.74 m, after 91 s.
Distance 70095.07 m, after 92 s.
Distance 69878 m, after 93 s.
Distance 69661.54 m, after 94 s.
Distance 69445.7 m, after 95 s.
Distance 69230.46 m, after 96 s.
Distance 69015.84 m, after 97 s.
Distance 68801.81 m, after 98 s.
Distance 68588.4 m, after 99 s.
Distance 68375.59 m, after 100 s.
Distance 68163.38 m, after 101 s.
Distance 67951.77 m, after 102 s.
Distance 67740.77 m, after 103 s.
Distance 67530.36 m, after 104 s.
Distance 67320.55 m, after 105 s.
Distance 67111.34 m, after 106 s.
Distance 66902.73 m, after 107 s.
Distance 66694.71 m, after 108 s.
Distance 66487.28 m, after 109 s.
Distance 66280.45 m, after 110 s.
Distance 66074.21 m, after 111 s.
Distance 65868.56 m, after 112 s.
Distance 65663.5 m, after 113 s.
Distance 65459.02 m, after 114 s.
Distance 65255.13 m, after 115 s.
Distance 65051.83 m, after 116 s.
Distance 64849.11 m, after 117 s.
Distance 64646.97 m, after 118 s.
Distance 64445.41 m, after 119 s.
Distance 64244.43 m, after 120 s.
Distance 64044.03 m, after 121 s.
Distance 63844.21 m, after 122 s.
Distance 63644.96 m, after 123 s.
Distance 63446.29 m, after 124 s.
Distance 63248.19 m, after 125 s.
Distance 63050.65 m, after 126 s.
Distance 62853.69 m, after 127 s.
Distance 62657.3 m, after 128 s.
Distance 62461.47 m, after 129 s.
Distance 62266.21 m, after 130 s.
Distance 62071.51 m, after 131 s.
Distance 61877.38 m, after 132 s.
Distance 61683.8 m, after 133 s.
Distance 61490.79 m, after 134 s.
Distance 61298.33 m, after 135 s.
Distance 61106.43 m, after 136 s.
Distance 60915.08 m, after 137 s.
Distance 60724.28 m, after 138 s.
Distance 60534.04 m, after 139 s.
Distance 60344.34 m, after 140 s.
Distance 60155.2 m, after 141 s.
Distance 59966.6 m, after 142 s.
Distance 59778.54 m, after 143 s.
Distance 59591.03 m, after 144 s.
Distance 59404.06 m, after 145 s.
Distance 59217.63 m, after 146 s.
Distance 59031.74 m, after 147 s.
Distance 58846.38 m, after 148 s.
Distance 58661.56 m, after 149 s.
Distance 58477.27 m, after 150 s.
Distance 58293.52 m, after 151 s.
Distance 58110.29 m, after 152 s.
Distance 57927.59 m, after 153 s.
Distance 57745.42 m, after 154 s.
Distance 57563.77 m, after 155 s.
Distance 57382.64 m, after 156 s.
Distance 57202.04 m, after 157 s.
Distance 57021.95 m, after 158 s.
