Distance 30145.35 m, after 422 s.
Distance 29956.32 m, after 423 s.
Distance 29767.27 m, after 424 s.
Distance 29578.18 m, after 425 s.
Distance 29389.06 m, after 426 s.
Distance 29199.91 m, after 427 s.
Distance 29010.73 m, after 428 s.
Distance 28821.51 m, after 429 s.
Distance 28632.25 m, after 430 s.
Distance 28442.96 m, after 431 s.
Distance 28253.63 m, after 432 s.
Distance 28064.26 m, after 433 s.
Distance 27874.84 m, after 434 s.
Distance 27685.38 m, after 435 s.
Distance 27495.88 m, after 436 s.
Distance 27306.33 m, after 437 s.
Distance 27116.74 m, after 438 s.
Distance 26927.1 m, after 439 s.
Distance 26737.41 m, after 440 s.
Distance 26547.67 m, after 441 s.
Distance 26357.88 m, after 442 s.
Distance 26168.04 m, after 443 s.
Distance 25978.15 m, after 444 s.
Distance 25788.21 m, after 445 s.
Distance 25598.2 m, after 446 s.
Distance 25408.15 m, after 447 s.
Distance 25218.04 m, after 448 s.
Distance 25027.87 m, after 449 s.
Distance 24837.64 m, after 450 s.
Distance 24647.35 m, after 451 s.
Distance 24457.01 m, after 452 s.
Distance 24266.6 m, after 453 s.
Distance 24076.14 m, after 454 s.
Distance 23885.61 m, after 455 s.
Distance 23695.02 m, after 456 s.
Distance 23504.37 m, after 457 s.
Distance 23313.65 m, after 458 s.
Distance 23122.87 m, after 459 s.
Distance 22932.02 m, after 460 s.
Distance 22741.11 m, after 461 s.
Distance 22550.14 m, after 462 s.
Distance 22359.09 m, after 463 s.
Distance 22167.98 m, after 464 s.
Distance 21976.81 m, after 465 s.
Distance 21785.56 m, after 466 s.
Distance 21594.25 m, after 467 s.
Distance 21402.87 m, after 468 s.
Distance 21211.42 m, after 469 s.
Distance 21019.9 m, after 470 s.
Distance 20828.31 m, after 471 s.
Distance 20636.65 m, after 472 s.
Distance 20444.92 m, after 473 s.
Distance 20253.12 m, after 474 s.
Distance 20061.25 m, after 475 s.
Distance 19869.31 m, after 476 s.
Distance 19677.3 m, after 477 s.
Distance 19485.22 m, after 478 s.
Distance 19293.06 m, after 479 s.
Distance 19100.84 m, after 480 s.
Distance 18908.54 m, after 481 s.
Distance 18716.18 m, after 482 s.
Distance 18523.74 m, after 483 s.
Distance 18331.23 m, after 484 s.
Distance 18138.65 m, after 485 s.
Distance 17946 m, after 486 s.
Distance 17753.28 m, after 487 s.
Distance 17560.48 m, after 488 s.
Distance 17367.62 m, after 489 s.
Distance 17174.69 m, after 490 s.
Distance 16981.68 m, after 491 s.
Distance 16788.61 m, after 492 s.
Distance 16595.47 m, after 493 s.
Distance 16402.25 m, after 494 s.
Distance 16208.97 m, after 495 s.
Distance 16015.62 m, after 496 s.
Distance 15822.2 m, after 497 s.
Distance 15628.71 m, after 498 s.
Distance 15435.16 m, after 499 s.
Distance 15241.54 m, after 500 s.
Distance 15047.85 m, after 501 s.
Distance 14854.1 m, after 502 s.
Distance 14660.28 m, after 503 s.
Distance 14466.4 m, after 504 s.
Distance 14272.45 m, after 505 s.
Distance 14078.44 m, after 506 s.
Distance 13884.37 m, after 507 s.
Distance 13690.23 m, after 508 s.
Distance 13496.04 m, after 509 s.
Distance 13301.78 m, after 510 s.
Distance 13107.47 m, after 511 s.
Distance 12913.09 m, after 512 s.
Distance 12718.66 m, after 513 s.
Distance 12524.18 m, after 514 s.
Distance 12329.63 m, after 515 s.
Distance 12135.04 m, after 516 s.
Distance 11940.39 m, after 517 s.
Distance 11745.69 m, after 518 s.
Distance 11550.94 m, after 519 s.
Distance 11356.13 m, after 520 s.
Distance 11161.29 m, after 521 s.
Distance 10966.39 m, after 522 s.
Distance 10771.45 m, after 523 s.
Distance 10576.47 m, after 524 s.
Distance 10381.45 m, after 525 s.
Distance 10186.39 m, after 526 s.
Distance 9991.29 m, after 527 s.
Distance 9796.15 m, after 528 s.
Distance 9600.98 m, after 529 s.
Distance 9405.78 m, after 530 s.
Distance 9210.55 m, after 531 s.
Distance 9015.3 m, after 532 s.
Distance 8820.02 m, after 533 s.
Distance 8624.73 m, after 534 s.
Distance 8429.41 m, after 535 s.
Distance 8234.09 m, after 536 s.
Distance 8038.75 m, after 537 s.
Distance 7843.4 m, after 538 s.
Distance 7648.06 m, after 539 s.
Distance 7452.72 m, after 540 s.
Distance 7257.38 m, after 541 s.
Distance 7062.06 m, after 542 s.
Distance 6866.76 m, after 543 s.
Distance 6671.49 m, after 544 s.
Distance 6476.24 m, after 545 s.
Distance 6281.04 m, after 546 s.
Distance 6085.89 m, after 547 s.
Distance 5890.8 m, after 548 s.
Distance 5695.79 m, after 549 s.
Distance 5500.85 m, after 550 s.
Distance 5306.02 m, after 551 s.
Distance 5111.31 m, after 552 s.
Distance 4916.72 m, after 553 s.
Distance 4722.3 m, after 554 s.
Distance 4528.06 m, after 555 s.
Distance 4334.03 m, after 556 s.
Distance 4140.24 m, after 557 s.
Distance 3946.75 m, after 558 s.
